"ID","Title","Action","Expected Result"
"TC_006","Search by Title - User enters a valid title - System returns matching books with pagination","",""
"","","Pre-conditions:
The system is in a stable state with a populated book database. The user is on the library search interface with an active search bar. At least one book exists in the database with a valid title.",""
"","","1. Enter a valid book title (e.g., 'The Great Gatsby') into the search bar.","1. The system displays all books matching the exact or partial title entered."
"","","2. Click the Search button or press Enter.","2. Results are paginated with a maximum of 20 items per page (if results exceed 20)."
"","","Cleanup:
Clear search input and verify no unintended side effects.",""
"TC_NEW_001","Search by Author - User enters a valid author name - System returns matching books with pagination","",""
"","","Pre-conditions:
The system is in a stable state with a populated book database. The user is on the library search interface with an active search bar. At least one book exists in the database with a valid author name.",""
"","","1. Enter a valid author name (e.g., 'J.K. Rowling') into the search bar.","1. The system displays all books written by the specified author."
"","","2. Click the Search button or press Enter.","2. Results are paginated with a maximum of 20 items per page (if results exceed 20)."
"","","Cleanup:
Clear search input and verify no unintended side effects.",""
"TC_NEW_002","Search by ISBN - User enters a valid ISBN - System returns exact book record","",""
"","","Pre-conditions:
The system is in a stable state with a populated book database. The user is on the library search interface with an active search bar. At least one book exists in the database with a valid ISBN (e.g., '978-0743273565').",""
"","","1. Enter a valid ISBN (e.g., '978-0743273565') into the search bar.","1. The system displays only the exact book record matching the ISBN."
"","","2. Click the Search button or press Enter.","2. No pagination is required (single result)."
"","","Cleanup:
Clear search input and verify no unintended side effects.",""
"TC_NEW_003","Combined Search - User enters title, author, and ISBN - System returns exact book record","",""
"","","Pre-conditions:
The system is in a stable state with a populated book database. The user is on the library search interface with an active search bar. At least one book exists in the database matching all three criteria (e.g., 'The Great Gatsby' by F. Scott Fitzgerald with ISBN '978-0743273565').",""
"","","1. Enter a valid title (e.g., 'The Great Gatsby'), author (e.g., 'F. Scott Fitzgerald'), and ISBN (e.g., '978-0743273565') into the search bar.","1. The system displays only the exact book matching all three criteria."
"","","2. Click the Search button or press Enter.","2. No pagination is required (single result)."
"","","Cleanup:
Clear search input and verify no unintended side effects.",""
"TC_NEW_004","Partial Match - User enters title and author - System returns matching books with pagination","",""
"","","Pre-conditions:
The system is in a stable state with a populated book database. The user is on the library search interface with an active search bar. Multiple books exist matching combinations of title and author (e.g., 'Harry Potter' by 'J.K. Rowling').",""
"","","1. Enter a valid title (e.g., 'Harry Potter') and author (e.g., 'J.K. Rowling') into the search bar.","1. The system displays all books matching both the title and author."
"","","2. Click the Search button or press Enter.","2. Results are paginated with a maximum of 20 items per page (if results exceed 20)."
"","","Cleanup:
Clear search input and verify no unintended side effects.",""
"TC_NEW_005","Pagination Boundary - User searches for exactly 20 items - System displays all results on one page","",""
"","","Pre-conditions:
The system is in a stable state with a populated book database. The user is on the library search interface with an active search bar. A search query exists that returns exactly 20 matching books.",""
"","","1. Perform a search query that returns exactly 20 books (e.g., 'Fantasy' genre).","1. The system displays all 20 books on the first page."
"","","2. Observe the displayed results.","2. No 'Next Page' or pagination controls are shown (since all results fit on one page)."
"","","Cleanup:
Clear search input and verify no unintended side effects.",""
"TC_NEW_006","Pagination Overflow - User searches for 21+ items - System paginates results correctly","",""
"","","Pre-conditions:
The system is in a stable state with a populated book database. The user is on the library search interface with an active search bar. A search query exists that returns 21 or more matching books.",""
"","","1. Perform a search query that returns 21 books (e.g., 'Science Fiction').","1. The system displays only 20 books on Page 1."
"","","2. Observe the displayed results on Page 1.","2. The 21st book is hidden on Page 1 and accessible only via pagination."
"","","3. Click the 'Next Page' or 'Page 2' navigation control.","3. Page 2 displays the remaining 1 book (if applicable)."
"","","Cleanup:
Clear search input and verify no unintended side effects.",""
"TC_NEW_007","Verify Cart Limit - User attempts to add 11th item - System blocks action and shows error","",""
"","","Pre-conditions:
The system is in a stable state with a populated book database. The user is logged in and has an empty cart. At least 10 books are available for purchase.",""
"","","1. Add 10 books to the cart.","1. The system allows adding up to 10 items to the cart."
"","","2. Attempt to add an 11th book to the cart.","2. When attempting to add the 11th item, the system blocks the action and displays an error message: 'Cart limit reached (Max 10 items).'"
"","","Cleanup:
Remove all items from the cart and verify no unintended side effects.",""
"TC_NEW_008","Verify Add Out-of-Stock Item Blocked - User attempts to add out-of-stock book - System prevents action and shows error","",""
"","","Pre-conditions:
The system is in a stable state with a populated book database. The user is logged in with an empty cart. At least one book in the database has 0 stock available.",""
"","","1. Locate a book with out-of-stock status (e.g., 'Inventory: 0').","1. The system prevents adding the out-of-stock item to the cart."
"","","2. Attempt to add this book to the cart.","2. An error message is displayed: 'This item is currently out of stock. Please check back later.'"
"","","Cleanup:
Verify no unintended side effects.",""
